Latitude and Longitude,Class of Land,Longitude,Latitude,Distance to center of the dataset,vh,vv,hh,hv
"10.324181275911162, 105.2598107235259",Rice,105.2598107235259,10.324181275911162,17.939442251243392,0.02390580251812935,0.08451738953590393,2494.0,1049.0
"10.324181275911162, 105.28706445330431",Rice,105.28706445330431,10.324181275911162,15.74620582528066,0.004566802643239498,0.009348983876407146,1784.0,1110.0
"10.32281858942218, 105.27934256320043",Rice,105.27934256320043,10.32281858942218,16.237282601305303,0.04308056831359863,0.3444323241710663,2748.0,1276.0
"10.320547445273881, 105.22710624779182",Rice,105.22710624779182,10.320547445273881,20.61396912919086,0.028726665303111076,0.054899632930755615,1913.0,941.0
"10.32327281825184, 105.26162763884446",Rice,105.26162763884446,10.32327281825184,17.721719514739107,0.02257588878273964,0.08299648016691208,2590.0,1549.0
"10.324635504740822, 105.25208883342202",Rice,105.25208883342202,10.324635504740822,18.631692281811034,0.05283915996551514,0.12304898351430893,2814.0,1711.0
"10.321001674103542, 105.25027191810346",Rice,105.25027191810346,10.321001674103542,18.54651240626411,0.023979397490620613,0.10354682058095932,2124.0,722.0
"10.318730529955241, 105.22756047662148",Rice,105.22756047662148,10.318730529955241,20.464996596571808,0.040774401277303696,0.2931012809276581,2239.0,1153.0
"10.31963898761456, 105.23255699374752",Rice,105.23255699374752,10.31963898761456,20.056544738642984,0.038787905126810074,0.3275018036365509,3929.0,1475.0
"10.323727047081501, 105.23800773970319",Rice,105.23800773970319,10.323727047081501,19.813804615999896,0.022433863952755928,0.08256901055574417,2481.0,812.0
"10.323727047081501, 105.27797987671151",Rice,105.27797987671151,10.323727047081501,16.414886734475424,0.03504858911037445,0.09188294410705566,3068.0,1087.0
"10.323727047081501, 105.26844107128906",Rice,105.26844107128906,10.323727047081501,17.186000659213548,0.0793699249625206,0.2072608321905136,1754.0,1026.0
"10.31963898761456, 105.2416415703403",Rice,105.2416415703403,10.31963898761456,19.228466600254865,0.033635444939136505,0.1378898322582245,2065.0,1141.0
"10.32327281825184, 105.25663112171844",Rice,105.25663112171844,10.32327281825184,18.14706070897529,0.07336000353097916,0.1087019294500351,2631.0,1111.0
"10.32327281825184, 105.27979679203008",Rice,105.27979679203008,10.32327281825184,16.23637617458142,0.028519775718450546,0.12754178047180176,3747.0,1674.0
"10.323727047081501, 105.28888136862287",Rice,105.28888136862287,10.323727047081501,15.572554757173652,0.006528084632009268,0.11334802210330963,2408.0,1736.0
"10.324635504740822, 105.26344455416304",Rice,105.26344455416304,10.324635504740822,17.66623404384006,0.023720383644104004,0.058629974722862244,2745.0,1164.0
"10.324181275911162, 105.26208186767411",Rice,105.26208186767411,10.324181275911162,17.747891306723655,0.032990384846925735,0.13614912331104279,2889.0,1537.0
"10.319184758784901, 105.23573659555498",Rice,105.23573659555498,10.319184758784901,19.737277868350898,0.05678680166602135,0.10686585307121277,3093.0,1108.0
"10.320547445273881, 105.25435997757023",Rice,105.25435997757023,10.320547445273881,18.158027769268614,0.03445250913500786,0.2514200210571289,1884.0,866.0
"10.31963898761456, 105.24255002799958",Rice,105.24255002799958,10.31963898761456,19.14652709252669,0.04580066725611687,0.32079681754112244,2194.0,1387.0
"10.320547445273881, 105.23619082438464",Rice,105.23619082438464,10.320547445273881,19.779261490420318,0.10443650186061859,0.27868786454200745,2920.0,1235.0
"10.324181275911162, 105.23709928204391",Rice,105.23709928204391,10.324181275911162,19.92423846712747,0.04194719344377518,0.10785645991563797,2423.0,936.0
"10.324635504740822, 105.26026495235556",Rice,105.26026495235556,10.324635504740822,17.933125032472326,0.0177979227155447,0.08509696274995804,2774.0,919.0
"10.32009321644422, 105.23846196853285",Rice,105.23846196853285,10.32009321644422,19.544676057196757,0.06172262504696846,0.28840887546539307,2270.0,981.0
"10.325089733570481, 105.25617689288879",Rice,105.25617689288879,10.325089733570481,18.31185244148414,0.06088278815150261,0.19595667719841003,2057.0,1011.0
"10.321455902933202, 105.23074007842897",Rice,105.23074007842897,10.321455902933202,20.33312768327086,0.015989914536476135,0.08542470633983612,3215.0,1084.0
"10.325089733570481, 105.26071918118518",Rice,105.26071918118518,10.325089733570481,17.927085776870097,0.05274955555796623,0.3663440942764282,3001.0,1208.0
"10.323727047081501, 105.24073311268103",Rice,105.24073311268103,10.323727047081501,19.569768960165234,0.04559985548257828,0.317494660615921,3518.0,1223.0
"10.323727047081501, 105.24345848565886",Rice,105.24345848565886,10.323727047081501,19.327252651793813,0.02203468605875969,0.1035025492310524,1968.0,1482.0
"10.325089733570481, 105.27979679203008",Rice,105.27979679203008,10.325089733570481,16.377174185582508,0.018145550042390823,0.1530260592699051,2165.0,948.0
"10.323727047081501, 105.27752564788187",Rice,105.27752564788187,10.323727047081501,16.45092468530718,0.09053145349025726,0.21187357604503632,2163.0,1165.0
"10.318276301125582, 105.22619779013255",Rice,105.22619779013255,10.318276301125582,20.565632622018395,0.06000697612762451,0.09283813834190369,3167.0,1051.0
"10.321455902933202, 105.22710624779182",Rice,105.22710624779182,10.321455902933202,20.667843905163764,0.026023423299193382,0.12840239703655243,2996.0,776.0
"10.325089733570481, 105.2666241559705",Rice,105.2666241559705,10.325089733570481,17.435375271408734,0.016842646524310112,0.17023751139640808,3175.0,1660.0
"10.321001674103542, 105.26026495235556",Rice,105.26026495235556,10.321001674103542,17.678693553930902,0.018330205231904984,0.10169638693332672,3033.0,1658.0
"10.32009321644422, 105.24118734151068",Rice,105.24118734151068,10.32009321644422,19.298002349299963,0.039815645664930344,0.35616135597229004,2597.0,698.0
"10.324635504740822, 105.2857017668154",Rice,105.2857017668154,10.324635504740822,15.886007205111303,0.0028071727138012648,0.015819091349840164,3479.0,1003.0
"10.32009321644422, 105.24209579916996",Rice,105.24209579916996,10.32009321644422,19.216102396669157,0.031487178057432175,0.13342194259166718,2470.0,1007.0
"10.32281858942218, 105.25572266405916",Rice,105.25572266405916,10.32281858942218,18.193922256733835,0.02072310447692871,0.16482321918010712,2947.0,1250.0
"10.324635504740822, 105.25663112171844",Rice,105.25663112171844,10.324635504740822,18.241486172952367,0.04136313125491142,0.06300076097249985,1831.0,1100.0
"10.325089733570481, 105.25345151991095",Rice,105.25345151991095,10.325089733570481,18.545273581445624,0.04370108246803284,0.2033328413963318,1478.0,919.0
"10.32327281825184, 105.27707141905222",Rice,105.27707141905222,10.32327281825184,16.45241507778973,0.022912461310625076,0.05473098158836365,2140.0,1092.0
"10.323727047081501, 105.22892316311038",Rice,105.22892316311038,10.323727047081501,20.637535339748396,0.07724499702453613,0.2837355434894562,3246.0,752.0
"10.32327281825184, 105.2334654514068",Rice,105.2334654514068,10.32327281825184,20.195550185939595,0.06485559046268463,0.2681168019771576,2936.0,1825.0
"10.319184758784901, 105.23846196853285",Rice,105.23846196853285,10.319184758784901,19.48847879880718,0.07592443376779556,0.25188392400741577,2586.0,1372.0
"10.325089733570481, 105.26753261362978",Rice,105.26753261362978,10.325089733570481,17.360625471571332,0.03138083219528198,0.17908510565757751,2806.0,1137.0
"10.318730529955241, 105.2334654514068",Rice,105.2334654514068,10.318730529955241,19.918324791965574,0.03673965856432915,0.1424066722393036,3073.0,1071.0
"10.324635504740822, 105.28115947851899",Rice,105.28115947851899,10.324635504740822,16.23551286380245,0.03203761577606201,0.12933403253555298,2355.0,955.0
"10.324181275911162, 105.27525450373366",Rice,105.27525450373366,10.324181275911162,16.666568802732936,0.005125491414219141,0.11188903450965881,2742.0,933.0
"10.319184758784901, 105.22846893428076",Rice,105.22846893428076,10.319184758784901,20.407215540098196,0.07545817643404007,0.2736734449863434,2202.0,911.0
"10.324181275911162, 105.24073311268103",Rice,105.24073311268103,10.324181275911162,19.59900805387502,0.04652196541428566,0.29149770736694336,2947.0,1409.0
"10.323727047081501, 105.2788883343708",Rice,105.2788883343708,10.323727047081501,16.34302582217319,0.06211210787296295,0.16465502977371216,3577.0,1446.0
"10.324181275911162, 105.26571569831123",Rice,105.26571569831123,10.324181275911162,17.444397640995703,0.10124769806861877,0.2579658031463623,2434.0,943.0
"10.32009321644422, 105.24800077395528",Rice,105.24800077395528,10.32009321644422,18.687890708572183,0.014681143686175346,0.21780188381671906,2470.0,1350.0
"10.32327281825184, 105.23164853608824",Rice,105.23164853608824,10.32327281825184,20.360844235017353,0.12434141337871552,0.13625876605510712,1617.0,753.0
"10.318730529955241, 105.22983162076967",Rice,105.22983162076967,10.318730529955241,20.254045408520103,0.020063528791069984,0.07415179908275604,3044.0,1419.0
"10.323727047081501, 105.24436694331814",Rice,105.24436694331814,10.323727047081501,19.246761452171526,0.02490244247019291,0.1361306756734848,1929.0,971.0
"10.324181275911162, 105.28206793617827",Rice,105.28206793617827,10.324181275911162,16.12936727471571,0.05839313566684723,0.11456409096717834,2555.0,933.0
"10.325089733570481, 105.28524753798575",Rice,105.28524753798575,10.325089733570481,15.956857914052302,0.007891598157584667,0.04516724497079849,2956.0,944.0
"10.320547445273881, 105.22756047662148",Rice,105.22756047662148,10.320547445273881,20.57189751655022,0.037515293806791306,0.09616880118846893,5074.0,1461.0
"10.32009321644422, 105.24527540097742",Rice,105.24527540097742,10.32009321644422,18.93077220361817,0.053700484335422516,0.09667691588401794,2273.0,1256.0
"10.324635504740822, 105.26980375777799",Rice,105.26980375777799,10.324635504740822,17.14116924050553,0.045547205954790115,0.09093920886516571,3073.0,1602.0
"10.323727047081501, 105.24527540097742",Rice,105.24527540097742,10.323727047081501,19.166447690533424,0.07052689790725708,0.16588915884494781,2741.0,797.0
"10.320547445273881, 105.23800773970319",Rice,105.23800773970319,10.320547445273881,19.614101866279235,0.0593247190117836,0.2290654331445694,3235.0,838.0
"10.324635504740822, 105.26616992714088",Rice,105.26616992714088,10.324635504740822,17.4397430345141,0.05266978591680527,0.1975775808095932,2730.0,1141.0
"10.323727047081501, 105.27707141905222",Rice,105.27707141905222,10.323727047081501,16.487033672996972,0.0319734625518322,0.05972043052315712,2753.0,1171.0
"10.321001674103542, 105.23028584959931",Rice,105.23028584959931,10.321001674103542,20.34747307536548,0.007729344069957733,0.16314385831356049,3116.0,1232.0
"10.319184758784901, 105.23437390906608",Rice,105.23437390906608,10.319184758784901,19.86218750004028,0.03949970006942749,0.13800811767578125,2273.0,1268.0
"10.320547445273881, 105.25208883342202",Rice,105.25208883342202,10.320547445273881,18.3567394704228,0.018542597070336342,0.2801072299480438,3869.0,1766.0
"10.321910131762861, 105.24618385863673",Rice,105.24618385863673,10.321910131762861,18.967267654329305,0.08622049540281296,0.42296481132507324,2004.0,1009.0
"10.325089733570481, 105.26208186767411",Rice,105.26208186767411,10.325089733570481,17.81273898747076,0.014387331902980804,0.2133255898952484,2601.0,1156.0
"10.321455902933202, 105.2266520189622",Rice,105.2266520189622,10.321455902933202,20.709839748307143,0.09218257665634155,0.18351943790912628,3717.0,746.0
"10.32327281825184, 105.28797291096359",Rice,105.28797291096359,10.32327281825184,15.604511070721575,0.010603048838675022,0.19808335602283478,2824.0,1290.0
"10.318730529955241, 105.2348281378957",Rice,105.2348281378957,10.318730529955241,19.793020519304118,0.06898516416549683,0.26345691084861755,2407.0,1128.0
"10.324181275911162, 105.24890923161456",Rice,105.24890923161456,10.324181275911162,18.877371977012643,0.017590366303920746,0.09434857964515686,3335.0,953.0
"10.323727047081501, 105.2416415703403",Rice,105.2416415703403,10.323727047081501,19.48875856603035,0.029544102028012276,0.20311148464679718,2620.0,1563.0
"9.983509653666161, 105.50282314738331",Rice,105.50282314738331,9.983509653666161,29.406262647925086,0.02899298258125782,0.24773117899894714,2748.0,1014.0
"9.966248958139081, 105.52735150418388",Rice,105.52735150418388,9.966248958139081,32.337336530962816,0.036156877875328064,0.1752566397190094,5493.0,2408.0
"9.962160898672142, 105.52008384290963",Rice,105.52008384290963,9.962160898672142,32.371104425026886,0.019828053191304207,0.08623671531677246,2200.0,1382.0
"9.98169273834752, 105.53143956365062",Rice,105.53143956365062,9.98169273834752,31.06394578105139,0.010206891223788261,0.19708940386772156,3635.0,1510.0
"9.974425077072961, 105.48510822302734",Rice,105.48510822302734,9.974425077072961,29.55944113436093,0.008852952159941196,0.24859195947647095,2806.0,982.0
"9.99259423025936, 105.51645001227251",Rice,105.51645001227251,9.99259423025936,29.19484378155366,0.004634862765669823,0.09026207774877548,2475.0,1071.0
"9.982601196006842, 105.54779180151766",Rice,105.54779180151766,9.982601196006842,31.93003312847999,0.027043264359235764,0.36182594299316406,1868.0,645.0
"9.94490020314506, 105.52144652939856",Rice,105.52144652939856,9.94490020314506,34.15926611655037,0.0029384130612015724,0.12338690459728241,3389.0,1526.0
"9.991685772600041, 105.49600971493871",Rice,105.49600971493871,9.991685772600041,28.265296907299444,0.07144870609045029,0.1792374849319458,2664.0,691.0
"9.975787763561941, 105.49373857079053",Rice,105.49373857079053,9.975787763561941,29.77747901065408,0.03776562213897705,0.29767900705337524,2667.0,667.0
"9.992140001429702, 105.51645001227251",Rice,105.51645001227251,9.992140001429702,29.23898249182351,0.004945622757077217,0.06504694372415543,2703.0,1208.0
"9.979421594199222, 105.50963657982791",Rice,105.50963657982791,9.979421594199222,30.14246904839299,0.005890089087188244,0.10150784999132156,2025.0,865.0
"9.976241992391602, 105.48601668068665",Rice,105.48601668068665,9.976241992391602,29.408033140161873,0.016901129856705666,0.2598031163215637,2582.0,1243.0
"9.983509653666161, 105.52871419067279",Rice,105.52871419067279,9.983509653666161,30.738330111062805,0.008456339128315449,0.2851639986038208,3096.0,1219.0
"9.990777314940722, 105.49964354557582",Rice,105.49964354557582,9.990777314940722,28.52704531133274,0.01631556823849678,0.17143794894218445,2651.0,1327.0
"9.95443900856792, 105.52825996184316",Rice,105.52825996184316,9.95443900856792,33.54384116910463,0.008719178847968578,0.09739063680171967,2746.0,1175.0
"9.994411145578, 105.50872812216863",Rice,105.50872812216863,9.994411145578,28.614121739468988,0.006548612378537655,0.05030076205730438,2947.0,1143.0
"9.98805194196276, 105.51054503748719",Rice,105.51054503748719,9.98805194196276,29.33274449727687,0.057417117059230804,0.11308210343122482,1438.0,450.0
"9.947171347293361, 105.51735846993179",Rice,105.51735846993179,9.947171347293361,33.73943991153794,0.005153825972229242,0.015848245471715927,3262.0,1323.0
"9.97669622122126, 105.53734453843595",Rice,105.53734453843595,9.97669622122126,31.872819002680057,0.01893836259841919,0.12197732925415039,1555.0,1095.0
"9.952622093249282, 105.51554155461324",Rice,105.51554155461324,9.952622093249282,33.1062297681648,0.0242163073271513,0.23221455514431,1305.0,611.0
"9.964886271650101, 105.50009777440548",Rice,105.50009777440548,9.964886271650101,31.166347374158377,0.007131908088922501,0.14020183682441711,1986.0,620.0
"9.98941462845174, 105.52962264833207",Rice,105.52962264833207,9.98941462845174,30.225076506185733,0.0030196523293852806,0.09613130986690521,3355.0,1248.0
"9.95943552569418, 105.50691120685008",Rice,105.50691120685008,9.95943552569418,32.02255746740302,0.016648540273308754,0.20562826097011566,1636.0,764.0
"9.971245475265341, 105.49600971493871",Rice,105.49600971493871,9.971245475265341,30.33969814379,0.006074906326830387,0.06088995188474655,2367.0,1557.0
"9.97533353473228, 105.53371070779883",Rice,105.53371070779883,9.97533353473228,31.79936835204102,0.007204399444162846,0.12777884304523468,3968.0,1203.0
"9.980330051858541, 105.51009080865757",Rice,105.51009080865757,9.980330051858541,30.074420656910558,0.018572447821497917,0.03361743316054344,1966.0,1055.0
"9.966248958139081, 105.53280225013955",Rice,105.53280225013955,9.966248958139081,32.625760503791255,0.006390808150172234,0.038990482687950134,3129.0,1760.0
"9.977150450050921, 105.50827389333898",Rice,105.50827389333898,9.977150450050921,30.302819567551158,0.029125258326530457,0.243942990899086,2956.0,622.0
"9.97987582302888, 105.49600971493871",Rice,105.49600971493871,9.97987582302888,29.460268054632888,0.009777531027793884,0.3522878885269165,2667.0,962.0
"9.966248958139081, 105.49782663025726",Rice,105.49782663025726,9.966248958139081,30.928748736536132,0.011964783072471619,0.0901789590716362,2939.0,1105.0
"9.977604678880581, 105.51508732578358",Rice,105.51508732578358,9.977604678880581,30.592964222256803,0.01666397415101528,0.21781638264656067,4071.0,846.0
"9.985326568984801, 105.50645697802042",Rice,105.50645697802042,9.985326568984801,29.39948523037777,0.0411134697496891,0.3083028495311737,2370.0,585.0
"9.98805194196276, 105.4991893167462",Rice,105.4991893167462,9.98805194196276,28.779133607229696,0.029992638155817986,0.14406955242156982,2497.0,925.0
"9.985780797814462, 105.54506642853983",Rice,105.54506642853983,9.985780797814462,31.470505136964945,0.024864524602890015,0.34143298864364624,805.0,395.0
"9.986689255473781, 105.51099926631684",Rice,105.51099926631684,9.986689255473781,29.490115635987678,0.013054344803094864,0.25288715958595276,2052.0,750.0
"9.99123154377038, 105.51327041046503",Rice,105.51327041046503,9.99123154377038,29.16028752521748,0.005601202603429556,0.14202627539634705,2870.0,916.0
"9.974425077072961, 105.50827389333898",Rice,105.50827389333898,9.974425077072961,30.575368964685026,0.009512903168797493,0.22605304419994354,978.0,410.0
